Date,Open,High,Low,Close,SMA,STD,Upper Band,Lower Band,Upper Band 2,Lower Band 2,RSI,H-L,H-PC,L-PC,TR,ATR,Buy Signal,Sell Signal
2012-12-03,0.3030000030994415,0.3030000030994415,0.2930000126361847,0.293749988079071,,,,,,,,0.00999999046325678,,,0.00999999046325678,,False,False
2012-12-04,0.2942500114440918,0.3030000030994415,0.2924999892711639,0.3025000095367431,,,,,,,,0.010500013828277588,0.009250015020370483,0.0012499988079071045,0.010500013828277588,,False,False
2012-12-05,0.3000000119209289,0.3019999861717224,0.2947500050067901,0.2989999949932098,,,,,,,,0.0072499811649323065,0.0005000233650206964,0.007750004529953003,0.007750004529953003,,False,False
2012-12-06,0.2982499897480011,0.301499992609024,0.2972500026226043,0.2994999885559082,,,,,,,,0.004249989986419678,0.002499997615814209,0.0017499923706054688,0.004249989986419678,,False,False
2012-12-07,0.2997500002384186,0.301250010728836,0.2955000102519989,0.2989999949932098,,,,,,,,0.005750000476837103,0.001750022172927801,0.003999978303909302,0.005750000476837103,,False,False
2012-12-10,0.2989999949932098,0.3112500011920929,0.2982499897480011,0.3089999854564667,,,,,,,,0.013000011444091797,0.012250006198883112,0.0007500052452086847,0.013000011444091797,,False,False
2012-12-11,0.3100000023841858,0.320250004529953,0.309249997138977,0.3162499964237213,,,,,,,,0.011000007390976008,0.011250019073486328,0.00025001168251032047,0.011250019073486328,,False,False
2012-12-12,0.3172500133514404,0.3190000057220459,0.3117499947547912,0.3129999935626983,,,,,,,,0.007250010967254694,0.002750009298324585,0.004500001668930109,0.007250010967254694,,False,False
2012-12-13,0.3125,0.3192499876022339,0.3102500140666961,0.3132500052452087,,,,,,,,0.008999973535537775,0.006249994039535578,0.0027499794960021973,0.008999973535537775,,False,False
2012-12-14,0.3145000040531158,0.3179999887943268,0.3122499883174896,0.3147499859333038,,,,,,,,0.005750000476837158,0.0047499835491180975,0.0010000169277190607,0.005750000476837158,,False,False
2012-12-17,0.3140000104904175,0.3157500028610229,0.3087500035762787,0.3134999871253967,,,,,,,,0.006999999284744207,0.0010000169277191162,0.005999982357025091,0.006999999284744207,,False,False
2012-12-18,0.3134999871253967,0.3174999952316284,0.3125,0.3140000104904175,,,,,,,,0.004999995231628418,0.004000008106231745,0.000999987125396673,0.004999995231628418,,False,False
2012-12-19,0.3162499964237213,0.3199999928474426,0.3149999976158142,0.3162499964237213,,,,,,,,0.004999995231628418,0.0059999823570251465,0.0009999871253967285,0.0059999823570251465,,False,False
2012-12-20,0.3174999952316284,0.3177500069141388,0.3125,0.3160000145435333,,,,,,,,0.005250006914138794,0.0015000104904174805,0.0037499964237213135,0.005250006914138794,0.007696428469249177,False,False
2012-12-21,0.3117499947547912,0.3117499947547912,0.3052499890327453,0.3087500035762787,,,,,,,,0.0065000057220458984,0.004250019788742121,0.01075002551078802,0.01075002551078802,0.007750002401215693,False,False
